date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time
2022-07-12,2022,7,81502510,Pulse1,captis_pulse,maroochydore,residential,2275.0,142.1875,195.0,125.0,16,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,81502510,Pulse1,captis_pulse,maroochydore,residential,235.0,235.0,235.0,235.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,22604421,Pulse1,captis_pulse,albany creek,non-residential,930.0,58.125,130.0,20.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,22604421,DeviceTemperature,captis_pulse,albany creek,non-residential,24.58,12.29,16.18,8.4,2,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,22604421,Battery,captis_pulse,albany creek,non-residential,73.892,24.630666666666666,66.0,3.63,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,22604421,Pulse1,captis_pulse,albany creek,non-residential,2750.0,119.56521739130434,340.0,30.0,23,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,22604421,DeviceTemperature,captis_pulse,albany creek,non-residential,27.0,27.0,27.0,27.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46053377,Pulse1,captis_pulse,buderim,non-residential,750.0,41.666666666666664,230.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,46053377,DeviceTemperature,captis_pulse,buderim,non-residential,14.21,14.21,14.21,14.21,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,46053377,Pulse1,captis_pulse,buderim,non-residential,3250.0,135.41666666666666,360.0,40.0,24,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60916379,DeviceTemperature,captis_pulse,buderim,residential,17.2,17.2,17.2,17.2,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60916379,Battery,captis_pulse,buderim,residential,3.63,3.63,3.63,3.63,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62365471,Pulse1,captis_pulse,buderim,residential,2.0,0.11764705882352941,1.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,62365471,Pulse1_Total,captis_pulse,buderim,residential,469086.0,27593.29411764706,27614.0,27589.0,17,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62365471,Pulse1,captis_pulse,buderim,residential,82.0,3.28,37.0,0.0,25,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,62365471,Pulse1_Total,captis_pulse,buderim,residential,692006.0,27680.24,27737.0,27622.0,25,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,81985117,Pulse1,captis_pulse,maroochydore,non-residential,155.0,12.916666666666666,25.0,10.0,12,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,81985117,DeviceTemperature,captis_pulse,maroochydore,non-residential,22.009999999999998,11.004999999999999,13.41,8.6,2,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,81985117,Pulse1,captis_pulse,maroochydore,non-residential,70.0,17.5,25.0,10.0,4,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,21675467,Pulse1,captis_pulse,buderim,non-residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,21675467,DeviceTemperature,captis_pulse,buderim,non-residential,14.2,14.2,14.2,14.2,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,21675467,Battery,captis_pulse,buderim,non-residential,3.62,3.62,3.62,3.62,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,21675467,Pulse1,captis_pulse,buderim,non-residential,0.0,0.0,0.0,0.0,24,2025-12-23T13:39:34.573Z
